,Dry Mass,Area,Volume,Phase Entropy Mean,Phase Entropy Radial Distribution,Phase Range,Peak Phase,Orientation
29,-3.5179935,-3.1216483,-19.456312,1.3916537,1.3340087,-0.43115893,-0.43106106,-0.37683302
30,4.2983847,4.235388,29.848026,-1.4227214,-1.3505169,0.49504477,0.49330658,-1.8038003
31,-3.260984,-3.5877504,-23.162642,0.45018426,0.21518777,-0.5458893,-0.5473771,-0.8342512
32,1.4755716,0.65746725,0.7868295,-0.3158072,-0.31543103,1.5438604,1.5436198,-0.592999
33,-3.463685,-1.0929306,-6.6979957,0.8874953,0.76772463,-1.8013748,-1.8025634,-1.6833093
34,1.2069788,0.7513584,5.5566607,0.329415,0.4522554,0.9047189,0.91262823,-1.5054555
35,-0.7061367,-1.2035879,-9.592914,-0.4085455,-0.4231738,0.08523943,0.08486244,-0.88802665
36,-1.5244939,-2.2330365,-11.091013,0.3639736,0.29894227,-0.07722376,-0.07846148,-0.87856555
37,-3.7681494,-5.183899,-30.134771,1.9370242,1.8456559,-0.3714492,-0.3728267,-0.8107847
38,1.9160676,2.0121813,12.101327,-0.6270765,-0.5584717,0.77181983,0.77263266,-1.2746556
39,-1.5782647,-1.3075387,-10.975994,-0.04207761,-0.16712649,0.040461667,0.03881931,-1.2198617
40,1.2186381,0.21148464,-2.12594,-0.525389,-0.67741776,1.0991358,1.0984153,-0.14769743
41,-0.9072938,-0.99568623,-7.7718697,-0.13164549,-0.19821231,-0.27215415,-0.27378356,-0.7024809
42,2.8419995,3.987247,27.166939,-1.0322345,-0.96479976,0.51799524,0.5183309,-1.6451254
43,-1.5456631,-1.5053806,-11.160194,0.39456704,0.2871526,-0.8616632,-0.8610126,-1.0114355
44,2.4759853,2.8639073,20.12887,-0.72606295,-0.65625215,0.30372435,0.30204314,9.281761
45,0.43959594,-0.19761217,-0.9469553,-0.65754354,-0.6630377,0.6679318,0.66820925,-1.7734497
46,-2.621148,-1.4617884,-11.21518,1.0205499,0.9176574,-0.8336487,-0.8350388,1.8273909
47,1.9616039,-0.040009297,-1.2656202,-0.7305026,-0.683699,0.9548717,0.9539188,-0.28932893
48,-2.9436507,-2.5851278,-17.349941,-0.052863233,-0.27253747,-0.8098714,-0.810576,-0.7085551
49,1.734395,0.9190209,3.4043722,-0.7300275,-0.6731383,1.143672,1.1423401,-0.7371684
50,-0.35601974,-0.06012881,-2.6904788,-0.28335503,-0.32193246,-0.31926993,-0.32076374,-0.967286
51,-1.0544423,-0.35856828,-2.9083548,-0.20927605,-0.31116286,-0.5599978,-0.56161374,-0.56806326
52,-0.27968726,0.07735454,-1.1006294,-0.24406078,-0.345696,0.093965486,0.0950382,-1.316282
53,0.29302675,-1.5590327,-11.83478,-0.5591021,-0.6966921,0.21972148,0.2232825,0.094103634
54,-1.6409552,-1.8608254,-12.741698,-0.40510064,-0.5260516,-0.5969793,-0.598395,-1.2224578
55,-2.197475,-3.024404,-17.58022,0.7146255,0.69558245,0.23024884,0.22891779,-0.9750341
56,-1.2897195,-1.005746,-10.540417,0.018044664,-0.111127034,-0.5754218,-0.57297146,-0.16348265
57,-0.30441877,0.12430008,-0.014516129,-0.473965,-0.5558873,0.21222383,0.21432541,-0.2505057
58,-2.8026156,-2.3436937,-15.67089,0.40345585,0.26797447,-0.46949324,-0.46948904,-0.502053
59,-2.4003396,-2.440938,-14.363417,0.61800075,0.48223323,-0.6302807,-0.6319082,9.65778
60,-0.9213475,-1.2102945,-4.2544336,-0.019190796,0.043742117,0.793353,0.7948611,-1.456688
61,-2.5579185,-2.176031,-14.262219,-0.16302918,-0.43773422,-0.4818061,-0.4829312,-1.2440679
62,0.5188952,1.2744658,4.5923715,-1.3251259,-1.5088221,0.06943991,0.0686544,-1.3743384
63,-1.4533577,-1.5791521,-11.882486,-0.23365693,-0.42695636,-0.005536581,-0.006563307,-0.25176254
64,-2.571765,-3.1317081,-19.094646,0.38087395,0.24745227,0.59476566,0.5986659,-0.20983309
65,-2.1405334,-3.259132,-20.528675,1.1809603,1.0852168,0.21915647,0.21754825,-1.4247363
66,-1.2855227,-1.4953209,-10.826742,1.4436208,1.6478518,0.051503688,0.053025443,-1.0586174
67,0.46816838,1.2476397,5.749047,-0.47500488,-0.39380708,-0.75517875,-0.75545084,-1.8355639
68,1.267106,0.7178258,2.9972744,-0.6363433,-0.5930183,0.16376708,0.16206226,-0.87892616
69,-5.3613753,-4.533368,-25.97105,2.6061406,2.5397058,-1.3582325,-1.3596089,3.1636982
70,-3.239326,-1.9748359,-12.104825,0.6366017,0.5735235,-1.520647,-1.5182227,-0.9404967
71,-1.6838412,-2.3772264,-17.467663,-0.85969126,-1.17136,-0.05761405,-0.059290748,-0.72666776
72,-1.5638591,-0.30156296,-2.918971,0.0022705556,-0.022036208,-1.2139249,-1.2134951,-1.6731867
73,-4.6000113,-5.874669,-33.80905,2.185845,2.063235,-0.54512805,-0.54674596,0.60126656
74,-2.4862776,-2.3269277,-14.830359,0.16149555,-0.010867439,-0.60770345,-0.60874665,-0.6238817
75,-3.86624,-0.62012196,-7.2943563,1.622049,1.5305325,-1.4981178,-1.4984967,-1.4855672
76,-3.1000886,-2.8969805,-13.534134,2.336309,2.5789318,-0.23791958,-0.2349241,-1.2717768
77,-0.74237925,-1.5221468,-8.996659,-0.5559399,-0.6550449,-0.08965198,-0.08913885,-0.94203544
78,-3.5890365,-2.8668013,-18.651758,1.881191,1.9032782,-1.015583,-1.0169629,-1.6342573
79,2.5814474,1.2342267,7.917499,-1.0787679,-1.0871582,0.9620001,0.9607807,-0.8886981
80,-0.9251436,-1.1264632,-8.08727,0.39704382,0.38790604,0.5032471,0.5029864,-0.8668163
81,0.70019305,-0.33844876,-3.9463937,-0.88228905,-0.9998538,0.34027883,0.3388306,-0.99805415
82,-3.7072515,-3.6581688,-20.094997,1.5493586,1.5399784,-0.5287121,-0.53030324,-1.0881699
83,1.7445227,2.7599566,18.108149,-1.2188057,-1.1911391,-0.31315452,-0.31418177,-1.4100604
84,1.1124185,0.72788554,-0.051298074,-1.1628035,-1.310452,-0.11794872,-0.1167662,9.62699
85,-4.6325493,-4.6406717,-28.701649,1.2051144,0.8980989,-1.1469601,-1.1462121,-1.6376427
86,-0.83954775,-0.3887475,-5.597418,-0.88076323,-1.0790323,-0.3165134,-0.31710884,-0.074564114
87,2.0239537,0.8217766,3.9166818,-0.6221179,-0.61956763,0.5050247,0.504805,-1.4828726
88,0.24139327,0.46633184,1.4416462,-0.7944458,-0.868685,-0.7089548,-0.70938903,-1.3987458
89,2.150231,1.7271549,10.315224,-1.143509,-1.1072978,0.45375594,0.45347273,-1.2789685
90,-2.0767272,-2.5281227,-15.643839,1.0084056,1.0225377,0.41580734,0.4145041,-1.3864182
91,0.07069269,-0.911855,-5.8820844,0.41633457,0.33727375,1.2742188,1.2739282,-1.3181642
92,-0.72635514,1.6131442,5.447695,-0.4299897,-0.46191344,-0.78739935,-0.78773683,-1.3362912
93,-0.60141945,-1.6361575,-11.74235,-0.3368747,-0.412105,1.0799292,1.0788391,-0.6822251
94,1.8840764,-0.22779143,-1.5774152,-0.30245206,-0.2524242,0.778425,0.7847498,-1.3634968
95,-1.5265143,-2.6220138,-17.815338,0.7204823,0.7055034,0.8388773,0.83839166,-1.5424361
96,-0.9876354,-1.7602277,-12.746374,-1.1726757,-1.4618934,0.21654132,0.21662986,-1.0574615
97,-0.28382176,-0.6838337,-4.9266844,-0.09163533,-0.1324821,0.026865004,0.026982088,-0.7828769
98,-2.168083,-2.454351,-14.984397,1.0036998,1.0501326,-0.6511895,-0.6527234,-0.14670259
99,-2.8576548,-1.683103,-12.335972,-0.2469295,-0.50660956,-1.1378698,-1.1370157,-0.85214436
100,-0.009349545,1.7338612,12.572723,-0.94736487,-1.0938457,0.20424601,0.20284162,0.06353621
101,0.08704808,-1.1432294,-9.169377,-0.93947655,-1.1498737,0.34224305,0.341139,-0.85827625
102,-4.417161,-5.1000676,-31.190014,1.34984,1.0464816,-1.2174919,-1.2178105,-1.3499824
103,-2.5483882,-3.091469,-18.603294,0.7671224,0.7688575,-0.6294193,-0.62773865,-0.7978903
104,1.4027214,0.28860947,1.1209946,-0.4047487,-0.313769,0.5838571,0.58228195,-0.008355323
105,0.1686711,0.71447253,2.6589096,-0.7543321,-0.8178708,-0.16530375,-0.16515505,-1.6509608
106,-2.5074916,-3.1384144,-20.6282,0.14432202,-0.08407332,0.57723105,0.5781436,-0.4948505
107,-4.648584,-4.429417,-26.480597,2.5261667,2.5494943,-1.3730847,-1.372934,-0.21481696
108,0.098989084,-1.0493383,-7.054531,0.02428583,-0.1732972,1.7756678,1.7778442,-1.2359432
109,-1.5042703,-1.8910048,-13.731554,0.5294347,0.45970926,0.41861477,0.42021176,-0.39283657
110,-2.8408694,-2.36046,-16.879616,1.9460152,1.9832735,-0.1233832,-0.122857854,-0.9440242
111,-1.0353748,-1.6294509,-11.323858,0.24503571,0.1830721,0.47178942,0.47316316,-1.2321099
112,1.7672942,-0.8950887,-6.990948,-0.35476223,-0.30355415,1.9271308,1.9274777,-0.23259683
113,-3.2521884,-3.19542,-19.306858,1.1226109,0.9602901,0.07786677,0.07881093,0.25396276
114,-2.0209332,-2.36046,-14.893104,-0.046293654,-0.19898881,-0.42060837,-0.4209294,-0.7630396
115,-4.3615546,-5.1369534,-29.267092,0.6041,0.40062785,-1.1795766,-1.1770186,-0.051581807
116,-3.281711,-3.4335008,-22.098957,0.37182316,0.13143402,-0.4464523,-0.44643554,-0.12465814
117,1.7039716,1.2979385,7.2495327,-0.53106165,-0.43844685,-0.07337229,-0.07122354,-1.4339488
118,-1.4031017,-0.99233305,-8.205509,-0.3308711,-0.5099576,-0.52688926,-0.5247064,-0.95053107
119,-1.2600749,-1.2572399,-9.862372,0.7620755,0.83644813,-0.67700285,-0.6781396,-1.4777075
120,-3.7655346,-3.9230757,-22.82978,1.9555368,2.0057247,-0.6573671,-0.65822864,-0.9865289
121,-2.6790462,-3.3228436,-20.200344,0.6350841,0.5884944,0.22824958,0.22947934,-0.53804344
122,0.22073324,0.38250053,0.35033765,-0.5619156,-0.54995716,-0.5594599,-0.55910176,-1.2676859
123,-1.7016826,-2.0586672,-13.340825,1.0746527,1.0315077,-0.35676497,-0.358266,-1.3494806
124,-2.1331465,-1.9614229,-15.396427,-0.20171995,-0.38763863,-0.66129214,-0.6620158,-0.5396167
125,-1.874794,-2.7695568,-17.351753,0.38806352,0.2824274,1.3815969,1.3813776,-0.33227593
126,-2.7850451,-3.1853604,-20.905535,0.938164,0.820576,0.6661786,0.6645425,0.8316709
127,-1.5082839,-2.4308784,-15.292332,1.0475721,1.0468943,0.41226634,0.41055515,-1.8014226
128,3.7599669,3.3065367,19.50253,-1.4821486,-1.4801075,0.92010325,0.91863847,-1.0930843
129,-2.518087,-2.1257324,-14.200567,0.6263496,0.46549436,-0.3076612,-0.308961,0.31747487
130,-2.841745,-3.3865552,-23.41491,0.9258303,0.7896315,-0.41405916,-0.41136554,-1.2571255
131,-2.0275416,-0.57317644,-5.030933,0.21290116,0.21663931,-1.1975473,-1.1990068,0.3457366
132,0.06728561,-0.6972468,-7.135131,-0.616174,-0.73331875,0.4117432,0.41177496,-0.82235146
133,-0.0044993656,2.035654,20.469954,0.18140249,-0.2599525,-0.386742,-0.38783813,9.5068
134,-3.4520435,-3.7788858,-24.777504,0.4810604,0.17782974,-0.7040797,-0.70225626,-0.09138242
135,-2.990878,-2.796383,-16.654984,-0.47226065,-0.72312045,-1.0424359,-1.044002,-0.32972923
136,-4.519187,-5.6064086,-32.77595,1.4939535,1.2511435,-0.9075031,-0.9066559,-0.72681725
137,-1.4840162,-2.0083685,-14.890842,0.6530675,0.6696473,0.5308471,0.53035414,-0.53171706
138,-1.7756127,-4.003554,-22.748775,0.7427574,0.8080053,0.94200236,0.9402697,-0.92777693
139,-0.8697828,-1.0929306,-9.358766,0.04067167,-0.054444283,0.018047335,0.01745327,-0.5444654
140,-2.5351593,-2.3470469,-15.0082245,0.30576843,0.1537054,-0.4195225,-0.4211788,-0.84628177
141,-1.6719685,-2.1793845,-13.080264,-0.025826441,-0.1190477,-0.009240443,-0.010677381,-1.2636058
142,-0.9067138,0.2785497,-0.94588315,-0.088717066,-0.16481124,-0.4230284,-0.4241986,-1.1067399
143,-0.84026223,-1.2136476,-8.947148,0.5027479,0.61505276,-0.26458243,-0.26574486,-0.3394765
144,-3.0325565,-3.155181,-19.957094,-0.5143544,-0.8701606,-0.81777,-0.8185203,-0.44697708
145,5.7882843,5.7477045,40.65916,-1.4795617,-1.4569378,1.6662898,1.6676775,-1.4620717
146,-1.1471666,-0.60000247,-6.5376253,-0.63316905,-0.79557985,-0.35657832,-0.35756814,-0.59754825
147,-2.32002,-3.6112232,-21.904604,0.5606926,0.35610837,0.014031847,0.015445715,-1.03424
148,1.2354546,-0.040009297,2.7859006,-0.2877394,-0.197638,0.68261606,0.6815971,-1.2319717
149,-1.5721073,-1.1801151,-9.426329,0.98303115,0.9579643,0.339672,0.33972862,-0.55905205
150,-1.9548635,-2.7024918,-19.136774,0.96143705,0.90621877,0.4107597,0.40991274,-0.49310008
151,-2.4815962,-3.2390122,-14.316608,1.3978256,1.128965,0.4495131,0.44980484,9.495766
152,1.2575258,1.5594921,8.800193,-0.8109892,-0.8015168,-0.2867937,-0.28741515,-1.2827352
153,2.8246913,2.9678583,17.838146,-0.7844676,-0.70274484,0.12133866,0.121700786,-0.9470346
154,-1.4059556,-1.0158057,-9.96478,-0.47216347,-0.62025845,-0.12623532,-0.12735647,-0.56533897
155,-2.3108075,-1.4684949,-11.635884,0.1923825,0.007974692,0.76143104,0.7600654,-1.1442537
156,3.0420246,2.1630776,11.527,-1.2862738,-1.2736322,0.48556763,0.48527804,-1.2147048
157,-2.0372958,-1.284066,-10.04389,-0.45103562,-0.66601145,-0.8648309,-0.86546767,-0.45944124
158,-2.0655046,-2.6823723,-16.106346,0.8807243,0.83100206,-0.28653073,-0.28622872,-1.7119577
159,1.646228,-0.20096543,-4.2684813,-0.07711453,-0.012986483,0.7318923,0.7304463,-1.2184967
160,0.86949074,0.16118586,6.6500206,0.33131307,0.39207047,0.2630548,0.26312426,-1.1343373
161,-1.2651173,-2.2095637,-13.927605,-0.7216538,-0.88132864,0.091438554,0.09214732,-1.2001364
162,-1.8582561,-2.611954,-16.323599,0.7535748,0.8103589,-0.17262098,-0.1737208,-0.8176818
163,-2.5832663,0.2919627,-1.3860607,1.5946468,1.6712734,-0.29756764,-0.29913303,-1.8045652
164,-2.237182,-2.3269277,-11.625433,0.6338181,0.4675901,0.27180573,0.27159163,-1.4553698
165,0.018269457,1.2208138,15.101999,-0.12013697,-0.047113698,-0.29765022,-0.29910645,-1.5074275
166,0.4523949,0.5769892,2.8573647,-0.3911795,-0.2975924,0.16951263,0.16924705,-1.4288292
167,-2.7723942,-1.4181961,-10.736136,-0.33082473,-0.558416,-1.2738439,-1.2746005,-0.017811501
168,-2.2316613,-2.3403406,-15.639072,-0.1323271,-0.27850446,0.124332175,0.12315924,0.047025762
169,0.25943336,-0.80119765,-3.5022755,0.4013291,0.46750966,0.3437429,0.3433111,-0.5137717
170,-0.19561058,-1.2639465,-10.406883,-1.0465553,-1.3015888,0.28181222,0.28206313,-0.40269086
171,0.21316378,-0.01988978,-3.4462504,-0.7647487,-0.9092814,0.02400496,0.024430513,-1.1449189
172,0.90348685,0.40262005,-1.2070466,-0.95327127,-1.0641155,-0.13151258,-0.13206093,-0.74045753
173,3.6054611,2.434691,11.200062,-1.7153592,-1.8040808,1.1482111,1.1468838,-0.3976956
174,-4.5922637,-4.613846,-25.768456,1.2981125,1.0102955,-1.2496978,-1.2507151,-0.8765161
175,-4.0960274,-4.5669003,-28.183878,2.2419736,2.1086745,-0.816062,-0.8162085,-1.3248186
176,-0.48677582,-1.3041855,-10.271444,-0.5283581,-0.6309664,-0.22741598,-0.22785354,-0.6191173
177,-1.692635,-1.9748359,-13.670179,-0.06363996,-0.1880839,-0.49174583,-0.49293786,-0.62193394
178,-0.23655197,-0.6167687,-7.8529224,1.3267393,1.4236896,1.3241246,1.3225816,-1.4729688
179,-0.87179875,-2.2565093,-15.389909,-0.5095063,-0.69550216,0.44247413,0.44241023,-0.59358215
180,-3.8817966,-3.7621198,-23.581532,0.2089678,-0.10152105,-0.8252982,-0.82602173,-0.68400365
181,1.3083507,0.48980463,1.1554542,-1.009936,-1.1078397,0.890206,0.8895832,-0.88869166
182,-2.7836695,-2.0620205,-14.716315,-0.30128258,-0.59791714,-1.1175011,-1.117418,-0.38222247
183,-0.9731206,-1.2270607,-7.7310095,-0.47290796,-0.60609114,-0.35448235,-0.35396358,-1.6724658
184,0.032805704,0.35902777,0.44269508,-0.9927446,-1.1529256,-0.57138425,-0.5729109,-0.948862
185,0.11876909,-0.5195244,-5.06254,-0.46883675,-0.5524648,0.1744183,0.17376828,-1.0503541
186,-2.846538,-1.243827,-11.435876,0.9435768,0.934848,-1.3313309,-1.3292655,-0.25771564
187,0.58303994,-1.7501681,-10.885348,-0.25791204,-0.29742628,1.151716,1.1518061,-1.0263996
188,-2.8561597,-2.9506326,-17.827553,0.5971448,0.4808576,0.109116875,0.107954405,-0.7297399
189,0.89092237,0.47303838,1.8702767,-0.56865156,-0.5441142,-0.25402224,-0.2554464,-1.258951
190,-0.12554146,-2.08214,-15.529462,-0.33666825,-0.5354982,2.177174,2.1762092,1.10304
191,-2.2715058,2.7834294,12.234667,0.2863068,0.17892046,-1.8776574,-1.8779314,-1.0198784
192,-0.66579926,-1.5489728,-7.827494,0.31720707,0.34232444,0.41241395,0.41486603,-1.2170966
193,-0.4738386,-1.032572,-6.5328712,0.41898096,0.46931976,0.09717505,0.09584178,-1.3287141
194,-2.8835611,-2.2464495,-14.433003,-0.1956268,-0.4468937,-1.0214643,-1.0228577,-1.1989957
195,-3.8479605,-2.3805795,-15.63225,0.6195717,0.52537334,-1.6909602,-1.6916552,-0.77560043
196,-1.4444048,-2.7930298,-17.212847,-0.30954507,-0.4888108,1.2562232,1.2546263,-0.0022934417
197,-2.6644073,-3.168594,-18.617208,0.051655486,-0.13655557,-0.90738827,-0.908763,-0.6417916
198,-1.3924052,-1.5422664,-12.23322,-0.11943631,-0.21009143,-0.5945915,-0.5892971,-1.1819054
199,0.13683711,-1.3008323,-8.688575,-0.13691284,-0.10849909,0.7152343,0.71437854,-1.045305
200,-0.90772694,-0.8950887,-5.9156704,-0.21597521,-0.27714464,-0.044114664,-0.045793757,-0.92421436
201,-2.779663,-3.3362565,-21.785576,0.43957266,0.2849148,-0.651457,-0.6489384,-0.24810478
202,-2.227534,-2.4442914,-15.322442,0.71014327,0.6577704,-0.70836437,-0.70326173,-1.5214323
203,0.5876388,-0.12384061,-3.1517525,-0.5936378,-0.68404925,3.0096936,3.0095177,-1.5679629
204,0.5183464,2.4682236,11.246874,-1.7493922,-1.9007248,-0.067836575,-0.069413915,-0.724238
205,-2.9265823,-3.2658384,-21.035463,0.34144378,0.12697944,-0.25951272,-0.25965604,-0.031046797
206,-2.3814206,-1.6227446,-11.828234,0.62070876,0.5421866,-0.75412226,-0.75511605,9.664352
207,-0.12959671,0.13100658,-2.2673833,-0.5425174,-0.5942188,0.028157312,0.026865028,-1.0679259
208,-0.4745426,-3.010991,-19.041584,0.5892139,0.5693862,1.5313684,1.5297726,-0.15143831
209,-3.7379465,-4.556841,-26.84959,2.0365791,1.9991254,-0.67430794,-0.67207223,-1.1890922
210,-0.36474657,0.1645391,1.6951225,0.5291247,0.6279309,0.118127964,0.117859855,-1.9190221
211,-3.660616,-3.1216483,-19.970139,-0.49568108,-0.7902195,-1.5315114,-1.5321659,0.16408956
212,-2.7859023,-3.0948222,-19.85389,1.1237772,1.0411656,-0.6103265,-0.6105342,-1.0099984
213,-1.6317103,-1.1499358,-7.9563785,0.058030687,-0.025890931,0.013507572,0.011833813,-1.4363382
214,-2.4396157,-2.8299155,-17.17649,0.3575247,0.26950717,0.017960804,0.017661942,-0.9606237
215,-2.592525,-3.2188926,-20.64351,0.67450666,0.5055472,-0.56850666,-0.56936914,-0.93713844
216,-2.9103112,-3.3597293,-20.706139,0.45752183,0.28400522,0.26748484,0.26996803,-0.5629032
217,-2.1114492,-2.9338663,-19.53985,0.77319014,0.77119374,0.15970805,0.15861435,-1.4942424
218,-1.0227987,-1.2807127,-9.438439,-0.3824298,-0.5030728,-0.25506797,-0.2535966,-1.1292231
219,-1.0483581,-0.8481431,-5.888356,0.296118,0.2778578,-0.518498,-0.5191927,-1.4039166
220,-3.8309462,-4.7245035,-30.050161,2.7830806,2.6964977,-0.41016868,-0.41133386,0.48971134
221,0.82985866,0.24837044,0.9783821,-0.72506374,-0.7484242,0.6982471,0.698343,-1.1826621
222,-0.08647246,-0.23114468,-5.814367,-1.1543612,-1.3305259,0.36964676,0.36839086,-1.9056225
223,-1.4553607,-1.39137,-10.513029,0.88395953,0.9486162,-0.18102635,-0.1804956,-0.22964558
224,-3.0240119,-4.1276245,-24.41427,1.1319889,1.0973326,-0.08718274,-0.08834374,-0.9547922
225,-2.3567457,-3.60787,-22.282864,0.50047565,0.35856643,0.26137677,0.26551297,-0.7713817
226,0.9627131,0.10082731,-1.2277741,-0.96673566,-1.1013582,-0.035940602,-0.03614675,-1.0224645
227,-2.8399725,-3.275898,-22.15797,2.5576336,2.6530826,-0.08859381,-0.08783196,-1.402776
228,2.2254114,1.5494324,9.24847,-0.56929827,-0.56208956,1.0210419,1.0197644,-1.8863307
229,-0.84120977,-0.26803046,-4.5352445,0.024986494,-0.014522208,0.32802767,0.3305866,-0.98588943
230,-2.0124154,-0.9487407,-7.672201,0.18141139,0.045620617,-0.67441994,-0.67542404,-1.057636
231,-2.244324,-1.3511311,-9.176163,-0.57429814,-0.7988701,-0.06460892,-0.06555262,-0.7924752
232,2.3901694,0.8418962,3.7161956,0.094836086,0.25563905,2.2971873,2.295561,-1.2937356
233,-0.58371776,-0.355215,-4.749147,-0.6783011,-0.75004035,0.034393758,0.037636265,-0.5014945
234,-2.683165,-3.1082354,-16.66827,0.99783397,0.94516885,-0.42104837,-0.41994825,-0.77331614
235,-1.4518173,-2.357107,-16.200985,-0.25494805,-0.4030455,0.6962014,0.6989441,-0.34191763
236,-0.47315407,0.14441958,-1.9581494,-0.37658882,-0.44974867,-0.5447107,-0.541493,-1.4336938
237,0.39267105,-1.0426317,-8.521083,-0.2874275,-0.40170297,0.7823494,0.7831313,-1.4267428
238,-2.7587626,-2.9439259,-18.562752,2.7519102,2.9428391,-0.69312304,-0.69429165,-1.0350324
239,3.0408375,1.2308733,7.7760434,-1.1171144,-1.1317202,2.0563424,2.0546799,-0.64349014
240,-4.341275,-4.912286,-30.209873,0.9027313,0.48585117,-1.178605,-1.1791031,-0.39892557
241,-0.98328984,-1.2270607,-9.546305,-0.6875933,-0.8634968,-0.036452435,-0.037808213,-0.7074505
242,1.4764822,-1.1264632,-7.73069,-0.85483235,-0.9374874,1.2433058,1.2424768,-0.95566154
243,-1.964345,-1.3712506,-9.868987,0.12695919,0.13009824,-0.75945777,-0.7577587,0.46887684
244,-3.1917133,-3.8794835,-26.10361,0.55624914,0.33727,-0.49635968,-0.49444437,1.743813
245,0.5206046,0.9827328,12.533988,-0.22542685,-0.16564488,0.16078205,0.15929805,-1.4680817
246,0.4785877,1.4689543,8.24468,-0.120502226,-0.121680915,-0.04352252,-0.043461602,-0.6895456
247,0.5235869,1.1369823,5.0276256,-0.8789388,-0.98474914,0.0036192946,0.0045121755,-0.91268015
248,4.3501406,2.9343257,19.749634,-1.521373,-1.5327845,0.97678834,0.97560495,-0.74274725
249,-1.3783268,-0.9420342,-7.9368405,-0.6222653,-0.80114996,-0.45161247,-0.45313567,-0.5668777
250,-5.471194,-5.7405386,-30.22074,0.13707973,-0.16038223,-1.3004609,-1.3016782,-0.6664377
251,-0.8199776,-0.84478986,-8.126499,-0.27438235,-0.34045288,-0.48824728,-0.48597476,-0.29000658
252,2.3210316,0.9626132,4.4030566,0.15490119,0.36572638,2.335939,2.3352914,-1.5366263
253,-2.1317353,-2.5750682,-17.401936,-0.31227085,-0.55291885,-0.4030822,-0.40098676,-0.8313369
254,-2.658576,-2.8232088,-17.152498,0.18406984,0.11935794,-1.0726432,-1.073201,-0.39133725
255,4.1549873,3.03157,26.216118,-0.6877527,-0.51778287,1.5152736,1.5154613,-1.4747933
256,1.1004301,-0.2512642,-5.647871,-1.0207895,-1.1030694,0.6980751,0.70043194,-0.1262174
