"","cell_id","group_id"
"112","C199","M5"
"113","C2","M6"
"114","C20","M3"
"115","C200","M6"
"116","C201","M1"
"117","C202","M3"
"118","C203","M7"
"119","C204","M3"
"120","C205","M8"
"121","C206","M7"
"122","C207","M3"
"123","C208","M1"
"124","C209","M1"
"125","C21","M1"
"126","C210","M3"
"127","C211","M7"
"128","C212","M7"
"129","C213","M7"
"130","C214","M5"
"131","C215","M7"
"132","C216","M1"
"133","C217","M5"
"134","C218","M7"
"135","C219","M1"
"136","C22","M7"
"137","C220","M1"
"138","C221","M5"
"139","C222","M7"
"140","C223","M1"
"141","C224","M7"
"142","C225","M3"
"143","C226","M8"
"144","C227","M7"
"145","C228","M3"
"146","C229","M3"
"147","C23","M1"
"148","C230","M6"
"149","C231","M3"
"150","C232","M5"
"151","C233","M4"
"152","C234","M5"
"153","C235","M5"
"154","C236","M6"
"155","C237","M6"
"156","C238","M3"
"157","C239","M3"
"158","C24","M5"
"159","C240","M7"
"160","C241","M6"
"161","C242","M3"
"162","C243","M2"
"163","C244","M7"
"164","C245","M7"
"165","C246","M7"
"166","C247","M3"
"167","C248","M7"
"168","C249","M2"
"169","C25","M3"
"170","C250","M8"
"171","C251","M2"
"172","C252","M1"
"173","C253","M6"
"174","C254","M5"
"175","C255","M8"
"176","C256","M1"
"177","C257","M3"
"178","C258","M3"
"179","C259","M7"
"180","C26","M5"
"181","C260","M5"
"182","C261","M3"
"183","C262","M3"
"184","C263","M5"
"185","C264","M7"
"186","C265","M2"
"187","C266","M3"
"188","C267","M7"
"189","C268","M3"
"190","C269","M5"
"191","C27","M4"
"192","C270","M7"
"193","C271","M2"
"194","C272","M1"
"195","C273","M3"
"196","C274","M4"
"197","C275","M3"
"198","C276","M3"
"199","C277","M1"
"200","C278","M2"
"201","C279","M3"
"202","C28","M7"
"203","C280","M1"
"204","C281","M3"
"205","C282","M4"
"206","C283","M8"
"207","C284","M7"
"208","C285","M5"
"209","C286","M7"
"210","C287","M7"
"211","C288","M4"
"212","C289","M3"
"213","C29","M2"
"214","C290","M5"
"215","C291","M6"
"216","C292","M7"
"217","C293","M7"
"218","C294","M5"
"219","C295","M6"
"220","C296","M8"
"221","C297","M5"
"222","C298","M6"
"223","C299","M3"
"224","C3","M5"
"225","C30","M4"
"226","C300","M1"
"227","C301","M1"
"228","C302","M3"
"229","C303","M6"
"230","C304","M2"
"231","C305","M7"
"232","C306","M3"
"233","C307","M7"
"234","C308","M7"
"235","C309","M5"
"236","C31","M5"
"237","C310","M5"
"238","C311","M1"
"239","C312","M3"
"240","C313","M6"
"241","C314","M7"
"242","C315","M1"
"243","C316","M5"
"244","C317","M2"
"245","C318","M7"
"246","C319","M3"
"247","C32","M3"
"248","C320","M7"
"249","C321","M7"
"250","C322","M7"
"251","C323","M5"
"252","C324","M3"
"253","C325","M6"
"254","C326","M1"
"255","C327","M3"
"256","C328","M5"
"257","C329","M5"
"258","C33","M7"
"259","C330","M7"
"260","C331","M5"
"261","C332","M3"
"262","C333","M1"
"263","C334","M2"
"264","C335","M5"
"265","C336","M3"
"266","C337","M8"
"267","C338","M7"
"268","C339","M8"
"269","C34","M5"
"270","C340","M8"
"271","C341","M3"
"272","C342","M1"
"273","C343","M1"
"274","C344","M8"
"275","C345","M1"
"276","C346","M7"
"277","C347","M7"
"278","C348","M7"
"279","C349","M3"
"280","C35","M5"
"281","C350","M7"
"282","C351","M8"
"283","C352","M2"
"284","C353","M1"
"285","C354","M7"
"286","C355","M4"
"287","C356","M5"
"288","C357","M1"
"289","C358","M3"
"290","C359","M6"
"291","C36","M7"
"292","C360","M7"
"293","C361","M7"
"294","C362","M8"
"295","C363","M3"
"296","C364","M3"
"297","C365","M1"
"298","C366","M5"
"299","C367","M3"
"300","C368","M8"
"301","C369","M4"
"302","C37","M7"
"303","C370","M3"
"304","C371","M7"
"305","C372","M8"
"306","C373","M8"
"307","C374","M4"
"308","C375","M3"
"309","C376","M2"
"310","C377","M3"
"311","C378","M5"
"312","C379","M5"
"313","C38","M2"
"314","C380","M4"
"315","C381","M6"
"316","C382","M8"
"317","C383","M5"
"318","C384","M5"
"319","C385","M4"
"320","C386","M3"
"321","C387","M2"
"322","C388","M3"
"323","C389","M1"
"324","C39","M7"
"325","C390","M3"
"326","C391","M1"
"327","C392","M4"
"328","C393","M8"
"329","C394","M4"
"330","C395","M3"
"331","C396","M5"
"332","C397","M3"
"333","C398","M3"
"334","C399","M1"
"335","C4","M7"
"336","C40","M4"
"337","C400","M1"
"338","C401","M6"
"339","C402","M1"
"340","C403","M2"
"341","C404","M7"
"342","C405","M6"
"343","C406","M5"
"344","C407","M3"
"345","C408","M1"
"346","C409","M3"
"347","C41","M2"
"348","C410","M3"
"349","C411","M1"
"350","C412","M7"
"351","C413","M2"
"352","C414","M3"
"353","C415","M4"
"354","C416","M7"
"355","C417","M4"
"356","C418","M5"
"357","C419","M2"
"358","C42","M6"
"359","C420","M5"
"360","C421","M1"
"361","C422","M4"
"362","C423","M5"
"363","C424","M5"
"364","C425","M3"
"365","C426","M5"
"366","C427","M1"
"367","C428","M7"
"368","C429","M3"
"369","C43","M6"
"370","C430","M3"
"371","C431","M7"
"372","C432","M5"
"373","C433","M1"
"374","C434","M1"
"375","C435","M3"
"376","C436","M3"
"377","C437","M8"
"378","C438","M7"
"379","C439","M4"
"380","C44","M4"
"381","C440","M8"
"382","C441","M4"
"383","C442","M3"
"384","C443","M3"
"385","C444","M7"
"386","C445","M3"
"387","C446","M2"
"388","C447","M3"
"389","C448","M7"
"390","C449","M6"
"391","C45","M5"
"392","C450","M6"
"393","C451","M8"
"394","C452","M5"
"395","C453","M7"
"396","C454","M5"
"397","C455","M7"
"398","C456","M3"
"399","C457","M3"
"400","C458","M4"
"401","C459","M2"
"402","C46","M7"
"403","C460","M4"
"404","C461","M6"
"405","C462","M5"
"406","C463","M3"
"407","C464","M7"
"408","C465","M5"
"409","C466","M5"
"410","C467","M7"
"411","C468","M5"
"412","C469","M3"
"413","C47","M1"
"414","C470","M1"
"415","C471","M5"
"416","C472","M5"
"417","C473","M5"
"418","C474","M4"
"419","C475","M7"
"420","C476","M1"
"421","C477","M7"
"422","C478","M3"
"423","C479","M1"
"424","C48","M3"
"425","C480","M1"
"426","C481","M1"
"427","C482","M7"
"428","C483","M7"
"429","C484","M5"
"430","C485","M4"
"431","C486","M7"
"432","C487","M5"
"433","C488","M7"
"434","C489","M7"
"435","C49","M8"
"436","C490","M4"
"437","C491","M7"
"438","C492","M3"
"439","C493","M8"
"440","C494","M6"
"441","C495","M1"
"442","C496","M3"
"443","C497","M1"
"444","C498","M8"
"445","C499","M4"
"446","C5","M7"
"447","C50","M7"
"448","C500","M6"
"449","C501","M3"
"450","C502","M1"
"451","C503","M6"
"452","C504","M6"
"453","C505","M3"
"454","C506","M2"
"455","C507","M1"
"456","C508","M6"
"457","C509","M7"
"458","C51","M4"
"459","C510","M7"
"460","C511","M8"
"461","C512","M4"
"462","C513","M5"
"463","C514","M3"
"464","C515","M7"
"465","C516","M3"
"466","C517","M2"
"467","C518","M5"
"468","C519","M7"
"469","C52","M4"
"470","C520","M5"
"471","C521","M7"
"472","C522","M7"
"473","C523","M1"
"474","C524","M6"
"475","C525","M6"
"476","C526","M4"
"477","C527","M8"
"478","C528","M1"
"479","C529","M3"
"480","C53","M7"
"481","C530","M3"
"482","C531","M1"
"483","C532","M3"
"484","C533","M8"
"485","C534","M5"
"486","C535","M7"
"487","C536","M3"
"488","C537","M3"
"489","C538","M1"
"490","C539","M1"
"491","C54","M3"
"492","C540","M1"
"493","C541","M8"
"494","C542","M8"
"495","C543","M6"
"496","C544","M5"
"497","C545","M1"
"498","C546","M1"
"499","C547","M5"
"500","C548","M7"
"501","C549","M5"
"502","C55","M7"
"503","C550","M7"
"504","C551","M7"
"505","C552","M3"
"506","C553","M2"
"507","C554","M1"
"508","C555","M1"
"509","C556","M6"
"510","C557","M3"
"511","C558","M5"
"512","C559","M3"
"513","C56","M4"
"514","C560","M1"
"515","C561","M8"
"516","C562","M3"
"517","C563","M4"
"518","C564","M5"
"519","C565","M7"
"520","C566","M5"
"521","C567","M1"
"522","C568","M7"
"523","C569","M5"
"524","C57","M3"
"525","C570","M5"
"526","C571","M5"
"527","C572","M6"
"528","C573","M5"
"529","C574","M5"
"530","C575","M1"
"531","C576","M7"
"532","C577","M3"
"533","C578","M3"
"534","C579","M3"
"535","C58","M7"
"536","C580","M3"
"537","C581","M1"
"538","C582","M5"
"539","C583","M4"
"540","C584","M4"
"541","C585","M3"
"542","C586","M6"
"543","C587","M5"
"544","C588","M7"
"545","C589","M8"
"546","C59","M8"
"547","C590","M2"
"548","C591","M7"
"549","C592","M5"
"550","C593","M4"
"551","C594","M1"
"552","C595","M5"
"553","C596","M7"
"554","C597","M4"
"555","C598","M5"
"556","C599","M3"
"557","C6","M6"
"558","C60","M3"
"559","C600","M8"
"560","C601","M3"
"561","C602","M7"
"562","C603","M1"
"563","C604","M3"
"564","C605","M7"
"565","C606","M5"
"566","C607","M7"
"567","C608","M3"
"568","C609","M7"
"569","C61","M7"
"570","C610","M5"
"571","C611","M3"
"572","C612","M1"
"573","C613","M1"
"574","C614","M3"
"575","C615","M4"
"576","C616","M5"
"577","C617","M5"
"578","C618","M2"
"579","C619","M7"
"580","C62","M5"
"581","C620","M8"
"582","C621","M1"
"583","C622","M7"
"584","C623","M7"
"585","C624","M2"
"586","C625","M3"
"587","C626","M5"
"588","C627","M5"
"589","C628","M3"
"590","C629","M6"
"591","C63","M7"
"592","C630","M5"
"593","C631","M1"
"594","C632","M1"
"595","C633","M1"
"596","C634","M3"
"597","C635","M8"
"598","C636","M3"
"599","C637","M3"
"600","C638","M5"
"601","C639","M5"
"602","C64","M3"
"603","C640","M3"
"604","C641","M6"
"605","C642","M3"
"606","C643","M5"
"607","C644","M5"
"608","C645","M7"
"609","C646","M7"
"610","C647","M3"
"611","C648","M7"
"612","C649","M6"
"613","C65","M7"
"614","C650","M7"
"615","C651","M2"
"616","C652","M3"
"617","C653","M6"
"618","C654","M7"
"619","C655","M7"
"620","C656","M5"
"621","C657","M5"
"622","C658","M3"
"623","C659","M6"
"624","C66","M3"
"625","C660","M8"
"626","C661","M4"
"627","C662","M3"
"628","C663","M5"
"629","C664","M5"
"630","C665","M4"
"631","C666","M5"
"632","C667","M1"
"633","C668","M3"
"634","C669","M4"
"635","C67","M6"
"636","C670","M1"
"637","C671","M4"
"638","C672","M7"
"639","C673","M3"
"640","C674","M7"
"641","C675","M7"
"642","C676","M5"
"643","C677","M8"
"644","C678","M7"
"645","C679","M8"
"646","C68","M6"
"647","C680","M7"
"648","C681","M2"
"649","C682","M7"
"650","C683","M6"
"651","C684","M8"
"652","C685","M3"
"653","C686","M7"
"654","C687","M3"
"655","C688","M1"
"656","C689","M6"
"657","C69","M7"
"658","C690","M1"
"659","C691","M5"
"660","C692","M7"
"661","C693","M3"
"662","C694","M3"
"663","C695","M4"
"664","C696","M7"
"665","C697","M3"
"666","C698","M5"
"667","C699","M7"
"668","C7","M7"
"669","C70","M8"
"670","C700","M8"
"671","C701","M3"
"672","C702","M5"
"673","C703","M5"
"674","C704","M4"
"675","C705","M8"
"676","C706","M5"
"677","C707","M8"
"678","C708","M5"
"679","C709","M3"
"680","C71","M7"
"681","C710","M3"
"682","C711","M7"
"683","C712","M2"
"684","C713","M3"
"685","C714","M5"
"686","C715","M1"
"687","C716","M1"
"688","C717","M3"
"689","C718","M6"
"690","C719","M7"
"691","C72","M3"
"692","C720","M5"
"693","C721","M5"
"694","C722","M5"
"695","C723","M3"
"696","C724","M2"
"697","C725","M3"
"698","C726","M1"
"699","C727","M1"
"700","C728","M3"
"701","C729","M5"
"702","C73","M3"
"703","C730","M1"
"704","C731","M1"
"705","C732","M5"
"706","C733","M3"
"707","C734","M6"
"708","C735","M3"
"709","C736","M1"
"710","C737","M2"
"711","C738","M7"
"712","C739","M3"
"713","C74","M3"
"714","C740","M1"
"715","C741","M5"
"716","C742","M3"
"717","C743","M3"
"718","C744","M3"
"719","C745","M3"
"720","C746","M5"
"721","C747","M2"
"722","C748","M7"
"723","C749","M3"
"724","C75","M3"
"725","C750","M5"
"726","C751","M3"
"727","C752","M5"
"728","C753","M7"
"729","C754","M7"
"730","C755","M1"
"731","C756","M3"
"732","C757","M6"
"733","C758","M6"
"734","C759","M5"
"735","C76","M5"
"736","C760","M1"
"737","C761","M8"
"738","C762","M3"
"739","C763","M3"
"740","C764","M8"
"741","C765","M1"
"742","C766","M7"
"743","C767","M5"
"744","C768","M5"
"745","C769","M7"
"746","C77","M2"
"747","C770","M7"
"748","C771","M2"
"749","C772","M3"
"750","C773","M8"
"751","C774","M5"
"752","C775","M2"
"753","C776","M3"
"754","C777","M5"
"755","C778","M7"
"756","C779","M5"
"757","C78","M6"
"758","C780","M7"
"759","C781","M5"
"760","C782","M5"
"761","C783","M7"
"762","C784","M5"
"763","C785","M3"
"764","C786","M4"
"765","C787","M3"
"766","C788","M7"
"767","C789","M8"
"768","C79","M6"
"769","C790","M5"
"770","C791","M3"
"771","C792","M3"
"772","C793","M8"
"773","C794","M1"
"774","C795","M5"
"775","C796","M5"
"776","C797","M1"
"777","C798","M3"
"778","C799","M1"
"779","C8","M7"
"780","C80","M7"
"781","C800","M3"
"782","C801","M1"
"783","C802","M3"
"784","C803","M3"
"785","C804","M2"
"786","C805","M7"
"787","C806","M4"
"788","C807","M7"
"789","C808","M3"
"790","C809","M5"
"791","C81","M3"
"792","C810","M3"
"793","C811","M3"
"794","C812","M3"
"795","C813","M1"
"796","C814","M3"
"797","C815","M3"
"798","C816","M6"
"799","C817","M5"
"800","C818","M7"
"801","C819","M1"
"802","C82","M3"
"803","C820","M2"
"804","C821","M2"
"805","C822","M2"
"806","C823","M5"
"807","C824","M5"
"808","C825","M6"
"809","C826","M2"
"810","C827","M7"
"811","C828","M5"
"812","C829","M1"
"813","C83","M5"
"814","C830","M7"
"815","C831","M7"
"816","C832","M5"
"817","C833","M5"
"818","C834","M3"
"819","C835","M7"
"820","C836","M8"
"821","C837","M1"
"822","C838","M3"
"823","C839","M1"
"824","C84","M3"
"825","C840","M4"
"826","C841","M6"
"827","C842","M5"
"828","C843","M1"
"829","C844","M5"
"830","C845","M5"
"831","C846","M7"
"832","C847","M8"
"833","C848","M1"
"834","C849","M7"
"835","C85","M7"
"836","C850","M5"
"837","C851","M1"
"838","C852","M4"
"839","C853","M7"
"840","C854","M6"
"841","C855","M7"
"842","C856","M6"
"843","C857","M7"
"844","C858","M2"
"845","C859","M5"
"846","C86","M2"
"847","C860","M5"
"848","C861","M3"
"849","C862","M1"
"850","C863","M5"
"851","C864","M7"
"852","C865","M7"
"853","C866","M5"
"854","C867","M3"
"855","C868","M4"
"856","C869","M5"
"857","C87","M3"
"858","C870","M5"
"859","C871","M5"
"860","C872","M5"
"861","C873","M8"
"862","C874","M3"
"863","C875","M2"
"864","C876","M7"
"865","C877","M3"
"866","C878","M7"
"867","C879","M3"
"868","C88","M7"
"869","C880","M3"
"870","C881","M3"
"871","C882","M3"
"872","C883","M3"
"873","C884","M3"
"874","C885","M5"
"875","C886","M5"
"876","C887","M3"
"877","C888","M2"
"878","C889","M3"
"879","C89","M3"
"880","C890","M5"
"881","C891","M6"
"882","C892","M8"
"883","C893","M7"
"884","C894","M5"
"885","C895","M6"
"886","C896","M3"
"887","C897","M5"
"888","C898","M3"
"889","C899","M3"
"890","C9","M8"
"891","C90","M7"
"892","C900","M3"
"893","C901","M7"
"894","C902","M5"
"895","C903","M7"
"896","C904","M3"
"897","C905","M3"
"898","C906","M8"
"899","C907","M5"
"900","C908","M3"
"901","C909","M3"
"902","C91","M3"
"903","C910","M3"
"904","C911","M5"
"905","C912","M8"
"906","C913","M3"
"907","C914","M4"
"908","C915","M7"
"909","C916","M7"
"910","C917","M6"
"911","C918","M7"
"912","C919","M2"
"913","C92","M8"
"914","C920","M1"
"915","C921","M8"
"916","C922","M3"
"917","C923","M4"
"918","C924","M3"
"919","C925","M5"
"920","C926","M7"
"921","C927","M4"
"922","C928","M3"
"923","C929","M5"
"924","C93","M1"
"925","C930","M3"
"926","C931","M6"
"927","C932","M5"
"928","C933","M7"
"929","C934","M7"
"930","C935","M6"
"931","C936","M3"
"932","C937","M1"
"933","C938","M4"
"934","C939","M3"
"935","C94","M3"
"936","C940","M5"
"937","C941","M5"
"938","C942","M4"
"939","C943","M7"
"940","C944","M5"
"941","C945","M5"
"942","C946","M7"
"943","C947","M7"
"944","C948","M1"
"945","C949","M6"
"946","C95","M3"
"947","C950","M8"
"948","C951","M3"
"949","C952","M3"
"950","C953","M5"
"951","C954","M7"
"952","C955","M1"
"953","C956","M7"
"954","C957","M1"
"955","C958","M4"
"956","C959","M3"
"957","C96","M1"
"958","C960","M6"
"959","C961","M5"
"960","C962","M7"
"961","C963","M3"
"962","C964","M3"
"963","C965","M6"
"964","C966","M7"
"965","C967","M5"
"966","C968","M1"
"967","C969","M5"
"968","C97","M4"
"969","C970","M5"
"970","C971","M3"
"971","C972","M5"
"972","C973","M1"
"973","C974","M4"
"974","C975","M3"
"975","C976","M4"
"976","C977","M3"
"977","C978","M5"
"978","C979","M3"
"979","C98","M5"
"980","C980","M7"
"981","C981","M3"
"982","C982","M7"
"983","C983","M3"
"984","C984","M5"
"985","C985","M6"
"986","C986","M7"
"987","C987","M6"
"988","C988","M7"
"989","C989","M4"
"990","C99","M3"
"991","C990","M7"
"992","C991","M2"
"993","C992","M5"
"994","C993","M7"
"995","C994","M7"
"996","C995","M6"
"997","C996","M7"
"998","C997","M3"
"999","C998","M5"
"1000","C999","M5"
